count,coordinates,valname
10786,"[-73.974735, 40.736519]",C152
10761,"[-73.885218, 40.767403]",C153
10741,"[-73.982787, 40.785031]",C154
10736,"[-73.787126, 40.645022]",C155
10720,"[-73.971638, 40.780528]",C156
10665,"[-73.973685, 40.769289]",C157
10601,"[-73.972519, 40.745948]",C158
10582,"[-73.966623, 40.784172]",C159
10565,"[-73.886576, 40.767233]",C160
10505,"[-73.876893, 40.771258]",C161
10497,"[-73.971394, 40.781712]",C162
10424,"[-73.971901, 40.745896]",C163
10417,"[-73.925467, 40.735922]",C164
10415,"[-73.958207, 40.75962]",C165
10413,"[-73.886444, 40.727973]",C166
10343,"[-73.942983, 40.774722]",C167
10329,"[-73.986399, 40.7517]",C168
10292,"[-73.919045, 40.731944]",C169
10275,"[-73.976235, 40.796635]",C170
10222,"[-73.989791, 40.757234]",C171
10170,"[-73.959722, 40.758663]",C172
10137,"[-73.973307, 40.745975]",C173
10113,"[-73.978021, 40.712124]",C174
10096,"[-73.968522, 40.772904]",C175
10092,"[-73.974408, 40.750764]",C176
10077,"[-73.969212, 40.773426]",C177
10076,"[-73.972997, 40.773815]",C178
10067,"[-73.975108, 40.735418]",C179
10037,"[-73.971079, 40.744593]",C180
10036,"[-73.958809, 40.759913]",C181
9946,"[-73.958709, 40.742306]",C182
9917,"[-73.971645, 40.780811]",C183
9902,"[-73.922643, 40.774534]",C184
9839,"[-73.979193, 40.771782]",C185
9831,"[-74.001112, 40.710193]",C186
9819,"[-73.97693, 40.766515]",C187
9813,"[-73.973104, 40.740321]",C188
9782,"[-73.973371, 40.738983]",C189
9680,"[-73.94288, 40.774868]",C190
9620,"[-73.960604, 40.769747]",C191
9585,"[-74.010116, 40.739028]",C192
9571,"[-73.975698, 40.754634]",C193
9539,"[-73.978661, 40.767408]",C194
9527,"[-73.979281, 40.770134]",C195
9516,"[-73.971555, 40.768635]",C196
9427,"[-73.971741, 40.729116]",C197
9414,"[-73.979076, 40.766876]",C198
9408,"[-73.978321, 40.711813]",C199
9383,"[-73.958348, 40.760543]",C200
9371,"[-73.929213, 40.786719]",C201
9338,"[-73.878008, 40.771115]",C202
9333,"[-73.990055, 40.709886]",C203
9314,"[-73.972277, 40.742502]",C204
9311,"[-73.975814, 40.753961]",C205
9295,"[-73.971767, 40.728524]",C206
9283,"[-73.991255, 40.72777]",C207
9260,"[-73.973207, 40.795253]",C208
9255,"[-73.96098, 40.817638]",C209
9253,"[-73.999684, 40.738552]",C210
9200,"[-73.972198, 40.745729]",C211
9198,"[-73.982557, 40.731357]",C212
9191,"[-73.988894, 40.742473]",C213
9159,"[-73.982264, 40.767588]",C214
9148,"[-73.807258, 40.65741]",C215
9139,"[-73.975311, 40.796138]",C216
9135,"[-73.977146, 40.746996]",C217
9131,"[-73.97479, 40.736649]",C218
9114,"[-73.971353, 40.77]",C219
9110,"[-73.957844, 40.759825]",C220
9098,"[-73.966987, 40.752388]",C221
9088,"[-73.972152, 40.742843]",C222
9017,"[-73.965199, 40.751652]",C223
8957,"[-73.923987, 40.793024]",C224
8946,"[-74.011156, 40.701794]",C225
8939,"[-73.949633, 40.741593]",C226
8935,"[-73.894197, 40.766256]",C227
8928,"[-73.975996, 40.796501]",C228
8924,"[-73.963693, 40.782982]",C229
8914,"[-73.956908, 40.789272]",C230
8914,"[-73.943946, 40.780633]",C231
8913,"[-73.942477, 40.776631]",C232
8912,"[-73.99684, 40.737361]",C233
8908,"[-73.929908, 40.784438]",C234
8886,"[-73.965434, 40.771784]",C235
8882,"[-73.975698, 40.716506]",C236
8823,"[-73.974112, 40.769913]",C237
8819,"[-73.983148, 40.738826]",C238
8806,"[-74.002199, 40.729693]",C239
8796,"[-73.975007, 40.769412]",C240
8790,"[-73.845447, 40.741199]",C241
8790,"[-74.01093, 40.725807]",C242
8727,"[-73.989243, 40.752895]",C243
8705,"[-73.969432, 40.771688]",C244
8703,"[-73.978091, 40.745716]",C245
8670,"[-73.844502, 40.741504]",C246
8649,"[-73.974223, 40.774631]",C247
8602,"[-73.981018, 40.767699]",C248
8577,"[-73.97713, 40.771831]",C249
8549,"[-73.905312, 40.726499]",C250
8530,"[-73.971688, 40.773828]",C251
8447,"[-74.003483, 40.711271]",C252
8446,"[-73.922781, 40.774433]",C253
8436,"[-73.918953, 40.732049]",C254
8432,"[-73.964577, 40.752464]",C255
8422,"[-73.970173, 40.773428]",C256
8409,"[-73.876686, 40.771992]",C257
8383,"[-73.98983, 40.733689]",C258
8363,"[-73.88006, 40.728822]",C259
8326,"[-73.978786, 40.711472]",C260
8281,"[-73.95729, 40.774289]",C261
8252,"[-73.826606, 40.721035]",C262
8250,"[-73.976234, 40.766025]",C263
8249,"[-73.99346, 40.752196]",C264
8247,"[-73.968924, 40.77246]",C265
8232,"[-73.972987, 40.739144]",C266
8228,"[-73.976025, 40.751456]",C267
8227,"[-73.998226, 40.713254]",C268
8217,"[-73.961303, 40.710136]",C269
8211,"[-73.99041, 40.731002]",C270
8186,"[-73.973792, 40.731519]",C271
8173,"[-73.930134, 40.784601]",C272
8148,"[-73.960671, 40.757364]",C273
8129,"[-73.975199, 40.769202]",C274
