count,coordinates,valname
4293,"[-73.979187, 40.711264]",C665
4289,"[-73.991879, 40.775002]",C666
4287,"[-73.986902, 40.739541]",C667
4284,"[-73.943038, 40.774819]",C668
4262,"[-73.864643, 40.733845]",C669
4262,"[-73.953672, 40.787901]",C670
4249,"[-73.991403, 40.727502]",C671
4248,"[-73.97282, 40.75587]",C672
4240,"[-73.930617, 40.72598]",C673
4237,"[-74.008479, 40.750485]",C674
4232,"[-73.797688, 40.644869]",C675
4227,"[-73.995904, 40.732859]",C676
4224,"[-73.956995, 40.762422]",C677
4220,"[-73.995473, 40.759626]",C678
4217,"[-73.97999, 40.720397]",C679
4207,"[-73.960619, 40.775675]",C680
4207,"[-73.983167, 40.756142]",C681
4201,"[-73.98031, 40.748336]",C682
4198,"[-73.894582, 40.725213]",C683
4195,"[-73.977655, 40.757912]",C684
4192,"[-74.011505, 40.702959]",C685
4190,"[-74.003045, 40.715603]",C686
4187,"[-73.956923, 40.760729]",C687
4173,"[-74.008873, 40.741541]",C688
4171,"[-73.989053, 40.730724]",C689
4170,"[-73.970482, 40.745383]",C690
4167,"[-73.958363, 40.768802]",C691
4158,"[-73.972036, 40.729693]",C692
4155,"[-73.975879, 40.744778]",C693
4152,"[-73.935856, 40.79142]",C694
4138,"[-73.979024, 40.756032]",C695
4137,"[-73.976311, 40.767434]",C696
4125,"[-73.891825, 40.725468]",C697
4111,"[-73.922524, 40.797762]",C698
4101,"[-73.971869, 40.743256]",C699
4100,"[-73.963932, 40.77709]",C700
4099,"[-73.972337, 40.769504]",C701
4095,"[-73.985947, 40.752317]",C702
4093,"[-73.978577, 40.750834]",C703
4087,"[-73.985839, 40.78306]",C704
4087,"[-73.996716, 40.725502]",C705
4084,"[-74.006309, 40.72256]",C706
4078,"[-73.981626, 40.778618]",C707
4075,"[-74.002982, 40.723308]",C708
4057,"[-73.944328, 40.779768]",C709
4048,"[-73.971682, 40.794611]",C710
4043,"[-74.008181, 40.742122]",C711
4041,"[-74.015244, 40.701732]",C712
4040,"[-73.955612, 40.711767]",C713
4038,"[-73.801561, 40.666988]",C714
4036,"[-73.981898, 40.762965]",C715
4030,"[-73.849798, 40.737824]",C716
4021,"[-74.014646, 40.71113]",C717
4020,"[-73.987929, 40.759787]",C718
4017,"[-73.959949, 40.75706]",C719
4010,"[-74.002807, 40.733625]",C720
4007,"[-73.977362, 40.784463]",C721
4005,"[-73.8632, 40.767336]",C722
3991,"[-73.942595, 40.776662]",C723
3987,"[-73.978601, 40.762396]",C724
3985,"[-73.92914, 40.797418]",C725
3984,"[-73.973199, 40.745576]",C726
3980,"[-73.985534, 40.757963]",C727
3979,"[-73.992463, 40.748469]",C728
3974,"[-73.858867, 40.761361]",C729
3968,"[-73.984484, 40.779807]",C730
3962,"[-73.974644, 40.74634]",C731
3960,"[-73.978874, 40.770501]",C732
3954,"[-74.01269, 40.701354]",C733
3950,"[-74.009174, 40.741083]",C734
3949,"[-73.906368, 40.737096]",C735
3947,"[-73.984942, 40.78394]",C736
3939,"[-73.97874, 40.767748]",C737
3939,"[-73.969476, 40.779328]",C738
3939,"[-74.007731, 40.747504]",C739
3934,"[-73.960742, 40.709393]",C740
3933,"[-74.015438, 40.701811]",C741
3926,"[-74.016638, 40.704785]",C742
3916,"[-73.97984, 40.768649]",C743
3915,"[-73.974779, 40.774738]",C744
3914,"[-74.002972, 40.706239]",C745
3910,"[-73.984174, 40.759841]",C746
3906,"[-73.988451, 40.723277]",C747
3904,"[-73.933985, 40.817473]",C748
3903,"[-73.89369, 40.765906]",C749
3902,"[-73.996884, 40.766826]",C750
3893,"[-73.943396, 40.844793]",C751
3891,"[-73.982849, 40.787757]",C752
3886,"[-74.010295, 40.733978]",C753
3880,"[-73.937375, 40.848455]",C754
3877,"[-73.988007, 40.780275]",C755
3873,"[-73.958811, 40.780869]",C756
3872,"[-73.985833, 40.717623]",C757
3861,"[-73.806735, 40.652897]",C758
3846,"[-73.993292, 40.742233]",C759
3844,"[-73.875001, 40.77381]",C760
3843,"[-74.009351, 40.702121]",C761
3838,"[-73.95059, 40.71619]",C762
3837,"[-73.970364, 40.794049]",C763
3834,"[-74.010555, 40.729111]",C764
3828,"[-73.807206, 40.658224]",C765
3821,"[-73.988362, 40.779802]",C766
3818,"[-73.960414, 40.781545]",C767
3817,"[-73.924959, 40.735444]",C768
3814,"[-73.974584, 40.746172]",C769
3813,"[-73.962986, 40.79174]",C770
3810,"[-74.001374, 40.709649]",C771
3792,"[-73.931305, 40.800737]",C772
3784,"[-73.895025, 40.744159]",C773
3783,"[-73.984024, 40.743301]",C774
3778,"[-73.975319, 40.774835]",C775
3778,"[-73.982399, 40.767405]",C776
3768,"[-73.973886, 40.757137]",C777
3768,"[-73.934919, 40.809609]",C778
3767,"[-73.988905, 40.710139]",C779
3758,"[-73.968697, 40.772651]",C780
3754,"[-73.968331, 40.772788]",C781
3754,"[-73.833558, 40.719429]",C782
3750,"[-73.967713, 40.747515]",C783
3743,"[-73.994468, 40.72584]",C784
3737,"[-74.003601, 40.732286]",C785
3737,"[-73.944671, 40.772821]",C786
3733,"[-73.843776, 40.733146]",C787
3728,"[-74.001062, 40.761957]",C788
3717,"[-73.942803, 40.775202]",C789
3712,"[-73.891931, 40.766154]",C790
3708,"[-73.859364, 40.76145]",C791
3704,"[-73.975373, 40.76104]",C792
3703,"[-74.006021, 40.706142]",C793
3703,"[-73.929772, 40.795608]",C794
3697,"[-73.786645, 40.652956]",C795
3697,"[-73.975941, 40.796214]",C796
3686,"[-73.979904, 40.768762]",C797
3682,"[-73.984881, 40.774159]",C798
3681,"[-74.004618, 40.72137]",C799
3656,"[-73.971919, 40.79471]",C800
3647,"[-73.942609, 40.775689]",C801
3641,"[-74.007052, 40.718269]",C802
3638,"[-73.922547, 40.73295]",C803
3633,"[-73.968392, 40.748256]",C804
3631,"[-74.000275, 40.742839]",C805
3630,"[-73.980051, 40.749028]",C806
3629,"[-73.988796, 40.699657]",C807
3627,"[-73.975053, 40.799096]",C808
3626,"[-73.995645, 40.744099]",C809
3626,"[-73.986566, 40.761668]",C810
3622,"[-73.999287, 40.708113]",C811
3617,"[-73.875984, 40.770323]",C812
3615,"[-73.982254, 40.75739]",C813
3610,"[-73.807421, 40.657436]",C814
3603,"[-73.982064, 40.773002]",C815
3583,"[-73.96996, 40.74889]",C816
3583,"[-73.970584, 40.747754]",C817
3582,"[-73.984417, 40.774795]",C818
3578,"[-73.876167, 40.772116]",C819
3577,"[-74.00522, 40.720639]",C820
3575,"[-73.89143, 40.76631]",C821
3571,"[-73.990297, 40.70075]",C822
3570,"[-73.959106, 40.75803]",C823
3566,"[-73.984, 40.785417]",C824
3565,"[-74.009834, 40.736949]",C825
3562,"[-73.894692, 40.745018]",C826
3553,"[-73.929688, 40.783487]",C827
3552,"[-73.964188, 40.792384]",C828
3550,"[-73.979794, 40.769496]",C829
3546,"[-73.92061, 40.734904]",C830
3532,"[-73.996072, 40.71624]",C831
3523,"[-73.87628, 40.77307]",C832
3522,"[-73.790946, 40.661924]",C833
3518,"[-73.981119, 40.791463]",C834
3517,"[-73.963587, 40.81584]",C835
3515,"[-73.86556, 40.769433]",C836
3515,"[-73.968242, 40.772804]",C837
3513,"[-73.987968, 40.723942]",C838
3505,"[-73.777288, 40.646575]",C839
3505,"[-73.996204, 40.748428]",C840
3499,"[-74.00992, 40.735974]",C841
3497,"[-73.939802, 40.785757]",C842
3496,"[-73.982216, 40.745786]",C843
3493,"[-73.993755, 40.72565]",C844
3492,"[-73.992906, 40.719902]",C845
3488,"[-73.983706, 40.760463]",C846
3487,"[-73.97871, 40.71138]",C847
3485,"[-73.993868, 40.720197]",C848
3485,"[-73.980395, 40.754155]",C849
3476,"[-73.972507, 40.759019]",C850
3472,"[-73.997761, 40.756488]",C851
3470,"[-73.923257, 40.733798]",C852
3465,"[-73.859177, 40.761607]",C853
3464,"[-73.997655, 40.720836]",C854
3462,"[-73.97177, 40.72868]",C855
3461,"[-73.844992, 40.739456]",C856
3460,"[-73.951336, 40.715656]",C857
3460,"[-73.966576, 40.761555]",C858
3459,"[-73.979972, 40.760525]",C859
3457,"[-73.98318, 40.750341]",C860
3454,"[-73.951235, 40.715579]",C861
3452,"[-73.992242, 40.764058]",C862
3451,"[-73.997494, 40.708947]",C863
3448,"[-73.964019, 40.752909]",C864
3446,"[-73.846538, 40.743725]",C865
3446,"[-73.952418, 40.741258]",C866
3444,"[-73.979905, 40.783816]",C867
3442,"[-73.978991, 40.771719]",C868
3440,"[-74.005344, 40.740946]",C869
3434,"[-73.967027, 40.793542]",C870
3434,"[-73.975038, 40.73628]",C871
3421,"[-73.953976, 40.77883]",C872
3418,"[-73.957868, 40.759647]",C873
3413,"[-73.983127, 40.744535]",C874
3411,"[-73.922949, 40.774619]",C875
3410,"[-73.983896, 40.74649]",C876
3409,"[-73.986013, 40.75734]",C877
3407,"[-74.001988, 40.740444]",C878
3404,"[-73.930224, 40.802712]",C879
3404,"[-73.9997, 40.75893]",C880
3401,"[-73.971404, 40.763598]",C881
3399,"[-73.98906, 40.71871]",C882
3398,"[-73.981306, 40.741344]",C883
3398,"[-73.935333, 40.834593]",C884
3395,"[-73.923331, 40.733721]",C885
3392,"[-73.976791, 40.746036]",C886
3388,"[-73.850485, 40.737613]",C887
3387,"[-73.970281, 40.768025]",C888
3383,"[-73.968149, 40.772809]",C889
3381,"[-74.008537, 40.743169]",C890
3380,"[-73.976064, 40.79617]",C891
3380,"[-73.984348, 40.785919]",C892
3380,"[-74.012276, 40.720335]",C893
3373,"[-73.845008, 40.739925]",C894
3372,"[-73.903484, 40.726168]",C895
3371,"[-74.002683, 40.728337]",C896
3370,"[-73.844115, 40.739936]",C897
3369,"[-73.978678, 40.794086]",C898
3368,"[-73.990968, 40.745421]",C899
3359,"[-73.889741, 40.766587]",C900
3358,"[-73.975545, 40.776041]",C901
3356,"[-74.006693, 40.754361]",C902
3352,"[-73.95213, 40.765279]",C903
3351,"[-73.942581, 40.776562]",C904
3349,"[-73.882857, 40.768625]",C905
3345,"[-73.843977, 40.739459]",C906
3334,"[-73.979517, 40.761142]",C907
3332,"[-73.972559, 40.753309]",C908
3331,"[-74.01549, 40.701879]",C909
3329,"[-73.921309, 40.734719]",C910
3328,"[-74.016631, 40.704871]",C911
3325,"[-73.981568, 40.749669]",C912
3324,"[-73.981341, 40.758645]",C913
3319,"[-74.013934, 40.713801]",C914
3316,"[-73.982202, 40.74011]",C915
3314,"[-73.992318, 40.743568]",C916
3309,"[-73.991856, 40.726419]",C917
3304,"[-74.005772, 40.737195]",C918
3301,"[-73.894237, 40.725365]",C919
3299,"[-73.98105, 40.688941]",C920
3296,"[-73.981991, 40.768597]",C921
3291,"[-73.958211, 40.759639]",C922
3290,"[-74.009851, 40.739297]",C923
3289,"[-73.996976, 40.731414]",C924
3287,"[-73.994665, 40.770805]",C925
3285,"[-73.976624, 40.795793]",C926
3281,"[-73.922035, 40.733302]",C927
3278,"[-73.999962, 40.726892]",C928
3278,"[-73.945602, 40.841333]",C929
3278,"[-73.974116, 40.730613]",C930
3273,"[-73.973162, 40.739468]",C931
3270,"[-73.960853, 40.710243]",C932
3262,"[-73.980909, 40.73788]",C933
3260,"[-73.995446, 40.739272]",C934
3259,"[-73.975394, 40.745442]",C935
3259,"[-73.977224, 40.771722]",C936
3259,"[-73.802281, 40.663161]",C937
3258,"[-73.955027, 40.741533]",C938
3256,"[-73.988265, 40.749116]",C939
3254,"[-74.001996, 40.755789]",C940
3250,"[-73.989936, 40.73543]",C941
3249,"[-73.977669, 40.752373]",C942
3249,"[-73.951032, 40.766511]",C943
3247,"[-73.973985, 40.731232]",C944
3243,"[-73.952668, 40.786602]",C945
3241,"[-73.971983, 40.769604]",C946
3239,"[-73.975456, 40.755353]",C947
3232,"[-73.977685, 40.763646]",C948
3228,"[-73.970646, 40.745532]",C949
3225,"[-73.978591, 40.745056]",C950
3221,"[-74.002071, 40.760716]",C951
3213,"[-73.930754, 40.801413]",C952
3212,"[-73.929879, 40.79545]",C953
3204,"[-74.010119, 40.738517]",C954
3184,"[-73.969902, 40.76297]",C955
3184,"[-73.958261, 40.789849]",C956
3181,"[-73.92309, 40.734061]",C957
3177,"[-73.974088, 40.757223]",C958
3176,"[-73.977082, 40.752127]",C959
3175,"[-73.983621, 40.749724]",C960
3170,"[-74.014729, 40.709827]",C961
3167,"[-74.007076, 40.754234]",C962
3166,"[-73.999148, 40.754586]",C963
3163,"[-73.830923, 40.717093]",C964
3161,"[-73.979533, 40.768292]",C965
3160,"[-73.943155, 40.774662]",C966
3152,"[-73.971594, 40.781968]",C967
3150,"[-73.924258, 40.735203]",C968
3149,"[-73.987261, 40.776029]",C969
3146,"[-73.922828, 40.732938]",C970
3144,"[-73.992562, 40.724053]",C971
3142,"[-73.93042, 40.794674]",C972
3142,"[-73.975912, 40.774066]",C973
3141,"[-73.970341, 40.752379]",C974
3139,"[-73.980369, 40.789939]",C975
3137,"[-73.975105, 40.718764]",C976
3136,"[-73.957216, 40.760247]",C977
3135,"[-73.990276, 40.756567]",C978
3130,"[-73.942614, 40.775359]",C979
3129,"[-73.9444, 40.781323]",C980
3124,"[-73.986101, 40.762294]",C981
3123,"[-73.870062, 40.771917]",C982
3117,"[-73.990646, 40.730615]",C983
3112,"[-73.959233, 40.742189]",C984
3112,"[-73.981448, 40.786184]",C985
3108,"[-73.930304, 40.802929]",C986
3106,"[-73.972362, 40.756498]",C987
3096,"[-73.949194, 40.741644]",C988
3096,"[-73.969372, 40.757694]",C989
3094,"[-73.956888, 40.760824]",C990
3093,"[-73.974816, 40.755897]",C991
3093,"[-73.970163, 40.768767]",C992
3090,"[-73.934738, 40.8115]",C993
3089,"[-74.005315, 40.728601]",C994
3088,"[-73.955049, 40.769104]",C995
3088,"[-73.944773, 40.740744]",C996
3083,"[-73.975137, 40.736376]",C997
3081,"[-73.999014, 40.734147]",C998
3075,"[-73.964724, 40.783603]",C999
3074,"[-73.944185, 40.782627]",C1000
3073,"[-73.993739, 40.741617]",C1001
3072,"[-74.013358, 40.714629]",C1002
3072,"[-73.979982, 40.739173]",C1003
3071,"[-73.982357, 40.762334]",C1004
3071,"[-73.927197, 40.728949]",C1005
3071,"[-73.892386, 40.725346]",C1006
3066,"[-73.991921, 40.731166]",C1007
3062,"[-73.977726, 40.742276]",C1008
3062,"[-73.973497, 40.80182]",C1009
3060,"[-73.979154, 40.750265]",C1010
3058,"[-73.983814, 40.740787]",C1011
3056,"[-73.96281, 40.791719]",C1012
3050,"[-73.969681, 40.762877]",C1013
3047,"[-74.011334, 40.714922]",C1014
3047,"[-73.894504, 40.745604]",C1015
3046,"[-73.935198, 40.834554]",C1016
3045,"[-73.999091, 40.70849]",C1017
3040,"[-73.979483, 40.755405]",C1018
3039,"[-74.004059, 40.713135]",C1019
3039,"[-73.963843, 40.765309]",C1020
3037,"[-73.976674, 40.754347]",C1021
3034,"[-73.973406, 40.769184]",C1022
3029,"[-73.972713, 40.769539]",C1023
3029,"[-73.963355, 40.791896]",C1024
3027,"[-73.975999, 40.796197]",C1025
3020,"[-73.978912, 40.793864]",C1026
3017,"[-74.004067, 40.70745]",C1027
3014,"[-73.942796, 40.775001]",C1028
3010,"[-73.980984, 40.764219]",C1029
3010,"[-73.953049, 40.737883]",C1030
3003,"[-73.964501, 40.758976]",C1031
2999,"[-73.981798, 40.758016]",C1032
2994,"[-73.952268, 40.74091]",C1033
2993,"[-73.962374, 40.791578]",C1034
2992,"[-73.984473, 40.742684]",C1035
2990,"[-73.981665, 40.767503]",C1036
2990,"[-73.886499, 40.767008]",C1037
2989,"[-74.009667, 40.712736]",C1038
2987,"[-73.791697, 40.65604]",C1039
2985,"[-73.970804, 40.751748]",C1040
2981,"[-73.944125, 40.781503]",C1041
2975,"[-73.949331, 40.785194]",C1042
2962,"[-73.920054, 40.735238]",C1043
2954,"[-73.992644, 40.724231]",C1044
2949,"[-73.96865, 40.747451]",C1045
2948,"[-73.87038, 40.772685]",C1046
2939,"[-73.987018, 40.761037]",C1047
2938,"[-73.984321, 40.769841]",C1048
2936,"[-73.977863, 40.788887]",C1049
2933,"[-73.979668, 40.793062]",C1050
2932,"[-73.982011, 40.789657]",C1051
2932,"[-73.903512, 40.726062]",C1052
2924,"[-73.975537, 40.716505]",C1053
2915,"[-73.97419, 40.753994]",C1054
2914,"[-73.888843, 40.766739]",C1055
2903,"[-73.906796, 40.736819]",C1056
2897,"[-73.957453, 40.761796]",C1057
2897,"[-73.975224, 40.774769]",C1058
2893,"[-73.975412, 40.774621]",C1059
2892,"[-73.979317, 40.711081]",C1060
2891,"[-73.97236, 40.762289]",C1061
2889,"[-74.001369, 40.746508]",C1062
2885,"[-73.87653, 40.77209]",C1063
2884,"[-73.985492, 40.747168]",C1064
2878,"[-73.952412, 40.786494]",C1065
2877,"[-73.887528, 40.766983]",C1066
2873,"[-73.997307, 40.757111]",C1067
2871,"[-73.942878, 40.775064]",C1068
2871,"[-74.00765, 40.748184]",C1069
2870,"[-73.974967, 40.736855]",C1070
2868,"[-73.869832, 40.771386]",C1071
2867,"[-73.780211, 40.645636]",C1072
2865,"[-73.978031, 40.72944]",C1073
2864,"[-73.97227, 40.759729]",C1074
2863,"[-73.974908, 40.736129]",C1075
2863,"[-73.962535, 40.816437]",C1076
2861,"[-73.999264, 40.759517]",C1077
2860,"[-73.820415, 40.709578]",C1078
2857,"[-73.972553, 40.764898]",C1079
2850,"[-73.983122, 40.734846]",C1080
2850,"[-73.993956, 40.751515]",C1081
2849,"[-73.982378, 40.768028]",C1082
2847,"[-73.967035, 40.747457]",C1083
2846,"[-73.982058, 40.778792]",C1084
2842,"[-73.933789, 40.75158]",C1085
2841,"[-73.98219, 40.768494]",C1086
2836,"[-73.982324, 40.773922]",C1087
2835,"[-73.982477, 40.764037]",C1088
2834,"[-73.894657, 40.744532]",C1089
2833,"[-73.862101, 40.767405]",C1090
2822,"[-73.978116, 40.757284]",C1091
2822,"[-73.975862, 40.796225]",C1092
2817,"[-73.80105, 40.671269]",C1093
2811,"[-73.96867, 40.767345]",C1094
2810,"[-73.978784, 40.771698]",C1095
2800,"[-73.973015, 40.764279]",C1096
2799,"[-73.99112, 40.750312]",C1097
2798,"[-73.89478, 40.725392]",C1098
2796,"[-73.991375, 40.739089]",C1099
2792,"[-73.920714, 40.73524]",C1100
2792,"[-73.987543, 40.719831]",C1101
2790,"[-73.929478, 40.795908]",C1102
2787,"[-73.985486, 40.741483]",C1103
2786,"[-73.854155, 40.757775]",C1104
2786,"[-73.994593, 40.740442]",C1105
2779,"[-73.945679, 40.740965]",C1106
2778,"[-74.003626, 40.71365]",C1107
2778,"[-73.988648, 40.742817]",C1108
2777,"[-74.008871, 40.742463]",C1109
2776,"[-74.004786, 40.723625]",C1110
2772,"[-73.981775, 40.746401]",C1111
2768,"[-73.806383, 40.652305]",C1112
2759,"[-73.983624, 40.755516]",C1113
2758,"[-74.016637, 40.704713]",C1114
2757,"[-74.015621, 40.707751]",C1115
2755,"[-73.974797, 40.736224]",C1116
2755,"[-73.981994, 40.765452]",C1117
2754,"[-73.98504, 40.753559]",C1118
2754,"[-73.990134, 40.751659]",C1119
2753,"[-73.972176, 40.786487]",C1120
2753,"[-73.953894, 40.74121]",C1121
2752,"[-74.016626, 40.708134]",C1122
2745,"[-73.999341, 40.708108]",C1123
2743,"[-73.943482, 40.750491]",C1124
2742,"[-73.978657, 40.767643]",C1125
2742,"[-73.991426, 40.731825]",C1126
2740,"[-74.011474, 40.724219]",C1127
2740,"[-73.987745, 40.744067]",C1128
2740,"[-73.986586, 40.710494]",C1129
2740,"[-73.916717, 40.7702]",C1130
2738,"[-73.975649, 40.774364]",C1131
2732,"[-73.986413, 40.740212]",C1132
2728,"[-73.991415, 40.744807]",C1133
2727,"[-73.968178, 40.747989]",C1134
2727,"[-73.951739, 40.777887]",C1135
2724,"[-73.994759, 40.727822]",C1136
2722,"[-73.967979, 40.747905]",C1137
2721,"[-73.989399, 40.709973]",C1138
2721,"[-73.986146, 40.743391]",C1139
2720,"[-73.987888, 40.754755]",C1140
2719,"[-74.015638, 40.704945]",C1141
2712,"[-73.945257, 40.778483]",C1142
2711,"[-73.929489, 40.801003]",C1143
2705,"[-73.899255, 40.758994]",C1144
2703,"[-73.990518, 40.746038]",C1145
2701,"[-73.976058, 40.773846]",C1146
2699,"[-73.989617, 40.747277]",C1147
2695,"[-74.015038, 40.709835]",C1148
2693,"[-73.975831, 40.760418]",C1149
2692,"[-73.99312, 40.736691]",C1150
2692,"[-73.994165, 40.741031]",C1151
2687,"[-73.974648, 40.753367]",C1152
2685,"[-73.955838, 40.761183]",C1153
2685,"[-73.972999, 40.802529]",C1154
2684,"[-74.001555, 40.74108]",C1155
2684,"[-73.969158, 40.748155]",C1156
2683,"[-73.962996, 40.815861]",C1157
2679,"[-73.961256, 40.710193]",C1158
2676,"[-73.985488, 40.752935]",C1159
2674,"[-73.937524, 40.738065]",C1160
2672,"[-73.984936, 40.736376]",C1161
2671,"[-73.931195, 40.800779]",C1162
2671,"[-73.974549, 40.737134]",C1163
2669,"[-74.013418, 40.714438]",C1164
2668,"[-73.973848, 40.798466]",C1165
2665,"[-73.985362, 40.735791]",C1166
2664,"[-73.954375, 40.762487]",C1167
2661,"[-73.930894, 40.801389]",C1168
2660,"[-73.971535, 40.780329]",C1169
2660,"[-73.991871, 40.744186]",C1170
2659,"[-73.998873, 40.734839]",C1171
2657,"[-74.007037, 40.74892]",C1172
2657,"[-73.972053, 40.759637]",C1173
2651,"[-73.95834, 40.800373]",C1174
2650,"[-73.981493, 40.768258]",C1175
2649,"[-73.931076, 40.800641]",C1176
2649,"[-74.01422, 40.704633]",C1177
2649,"[-73.987475, 40.760409]",C1178
2646,"[-73.995749, 40.749052]",C1179
2642,"[-73.812269, 40.66666]",C1180
2637,"[-74.000645, 40.720863]",C1181
2633,"[-73.974103, 40.769489]",C1182
2631,"[-73.937169, 40.789588]",C1183
2631,"[-73.999395, 40.708106]",C1184
2628,"[-73.967909, 40.784843]",C1185
2625,"[-73.994262, 40.746005]",C1186
2622,"[-73.981759, 40.740728]",C1187
2616,"[-73.988998, 40.7216]",C1188
2615,"[-73.973412, 40.757771]",C1189
2614,"[-73.982024, 40.74905]",C1190
2612,"[-73.96406, 40.783332]",C1191
2611,"[-73.930648, 40.801511]",C1192
2604,"[-73.891945, 40.766284]",C1193
2603,"[-73.951933, 40.706342]",C1194
2603,"[-73.987239, 40.729192]",C1195
2603,"[-73.962269, 40.781311]",C1196
2602,"[-73.852773, 40.758231]",C1197
2602,"[-73.969431, 40.749324]",C1198
2599,"[-73.942535, 40.776941]",C1199
2598,"[-73.973571, 40.779478]",C1200
2597,"[-73.979815, 40.711058]",C1201
2594,"[-73.978344, 40.748294]",C1202
2585,"[-73.900048, 40.73978]",C1203
2583,"[-73.962363, 40.754865]",C1204
2581,"[-73.861959, 40.767915]",C1205
2580,"[-73.982088, 40.767675]",C1206
2580,"[-74.013808, 40.701248]",C1207
2578,"[-73.943556, 40.84446]",C1208
2576,"[-74.003084, 40.727834]",C1209
2574,"[-73.990531, 40.740249]",C1210
2569,"[-74.005747, 40.736677]",C1211
2568,"[-73.986846, 40.745301]",C1212
2566,"[-73.916543, 40.735507]",C1213
2563,"[-74.015953, 40.706677]",C1214
2560,"[-73.980761, 40.747716]",C1215
2559,"[-73.988194, 40.743451]",C1216
2554,"[-73.990364, 40.700765]",C1217
2551,"[-73.974915, 40.761667]",C1218
2550,"[-74.01358, 40.701175]",C1219
2550,"[-73.988843, 40.758532]",C1220
2545,"[-73.899862, 40.756197]",C1221
2536,"[-73.92947, 40.799293]",C1222
2536,"[-73.820043, 40.664922]",C1223
2527,"[-73.964646, 40.752447]",C1224
2524,"[-73.951661, 40.741216]",C1225
2523,"[-73.870353, 40.773379]",C1226
2522,"[-73.984269, 40.764798]",C1227
2522,"[-73.846468, 40.742759]",C1228
2516,"[-74.005314, 40.736611]",C1229
2516,"[-73.979683, 40.769685]",C1230
2516,"[-73.987098, 40.72254]",C1231
2514,"[-73.982724, 40.750959]",C1232
2513,"[-73.989483, 40.730133]",C1233
2507,"[-73.93412, 40.817494]",C1234
2507,"[-73.981504, 40.696912]",C1235
2507,"[-73.981446, 40.747128]",C1236
2503,"[-73.976289, 40.759787]",C1237
2502,"[-73.943329, 40.774302]",C1238
2498,"[-74.011702, 40.690875]",C1239
2496,"[-73.943786, 40.78296]",C1240
2496,"[-74.004356, 40.711312]",C1241
2495,"[-73.989688, 40.752289]",C1242
2494,"[-73.988913, 40.696108]",C1243
2493,"[-73.942458, 40.77646]",C1244
2492,"[-73.951018, 40.766542]",C1245
2492,"[-73.921743, 40.796922]",C1246
2482,"[-73.970736, 40.755818]",C1247
2482,"[-73.975907, 40.754721]",C1248
2482,"[-73.929256, 40.783106]",C1249
2478,"[-73.864471, 40.767358]",C1250
2477,"[-73.968181, 40.762236]",C1251
2476,"[-73.988985, 40.699865]",C1252
2475,"[-73.930517, 40.803122]",C1253
2474,"[-73.977781, 40.712449]",C1254
2474,"[-73.988578, 40.72285]",C1255
2474,"[-73.979951, 40.743207]",C1256
2472,"[-73.999445, 40.733557]",C1257
2471,"[-73.980531, 40.764839]",C1258
2469,"[-73.987575, 40.765367]",C1259
2469,"[-74.009588, 40.702011]",C1260
2465,"[-73.983939, 40.784662]",C1261
2462,"[-73.972386, 40.742363]",C1262
2461,"[-74.016731, 40.704787]",C1263
2455,"[-73.919858, 40.735059]",C1264
2450,"[-73.985419, 40.783678]",C1265
2449,"[-73.900195, 40.739815]",C1266
2446,"[-73.997896, 40.754538]",C1267
2446,"[-73.89482, 40.744236]",C1268
2445,"[-73.984904, 40.784627]",C1269
2443,"[-73.972718, 40.759104]",C1270
2441,"[-73.807179, 40.686025]",C1271
2439,"[-73.987447, 40.755373]",C1272
2431,"[-73.962922, 40.758313]",C1273
2429,"[-73.992693, 40.724098]",C1274
2429,"[-73.976092, 40.79687]",C1275
2428,"[-73.97409, 40.730654]",C1276
2426,"[-73.865881, 40.769182]",C1277
2426,"[-73.978557, 40.715373]",C1278
2426,"[-73.975104, 40.735233]",C1279
2422,"[-73.944203, 40.781133]",C1280
2422,"[-73.826097, 40.715472]",C1281
2419,"[-73.988335, 40.75413]",C1282
2413,"[-73.863929, 40.769682]",C1283
2411,"[-73.999061, 40.720044]",C1284
2409,"[-73.984509, 40.736962]",C1285
2408,"[-73.98113, 40.779292]",C1286
2408,"[-74.017398, 40.708457]",C1287
2406,"[-74.003539, 40.732179]",C1288
2404,"[-73.987672, 40.728595]",C1289
2402,"[-73.974485, 40.74667]",C1290
2401,"[-74.013583, 40.701245]",C1291
2400,"[-73.971407, 40.781467]",C1292
2400,"[-73.963388, 40.765932]",C1293
2396,"[-73.954245, 40.766181]",C1294
2395,"[-73.997501, 40.749397]",C1295
2395,"[-73.841372, 40.74166]",C1296
2394,"[-73.994932, 40.714737]",C1297
2394,"[-73.958862, 40.709552]",C1298
2392,"[-73.942645, 40.775577]",C1299
2392,"[-73.982807, 40.761719]",C1300
2390,"[-73.978508, 40.794957]",C1301
2387,"[-73.97827, 40.794356]",C1302
2385,"[-73.992225, 40.737917]",C1303
2378,"[-73.977637, 40.752342]",C1304
2375,"[-73.958248, 40.815657]",C1305
2372,"[-73.991227, 40.760355]",C1306
2370,"[-73.971591, 40.760275]",C1307
2370,"[-73.80193, 40.665771]",C1308
2368,"[-73.974806, 40.736937]",C1309
2367,"[-73.994636, 40.765886]",C1310
2366,"[-73.942091, 40.784299]",C1311
2360,"[-74.015325, 40.707064]",C1312
2360,"[-73.890683, 40.72582]",C1313
2359,"[-73.998812, 40.723021]",C1314
2358,"[-73.976607, 40.788361]",C1315
